Network,lat,lon,id,Loc
PPA,40.4422,-79.9426,2141,Pittsburg
PPA,40.4422,-79.9426,2142,Pittsburg
PPA,40.4421,-79.9423,2179,Pittsburg
PPA,40.4421,-79.9423,2180,Pittsburg
PPA,40.4421,-79.942,2181,Pittsburg
PPA,40.4421,-79.942,2182,Pittsburg
PPA,40.4427,-79.9446,2190,Pittsburg
PPA,40.6574,-80.3111,2195,Pittsburg
PPA,40.6574,-80.3111,2196,Pittsburg
PPA,40.485,-80.0479,2197,Pittsburg
PPA,40.485,-80.0479,2198,Pittsburg
PPA,40.4421,-79.9426,2271,Pittsburg
PPA,40.4421,-79.9426,2272,Pittsburg
PPA,40.4421,-79.9424,2273,Pittsburg
PPA,40.4421,-79.9424,2274,Pittsburg
PPA,40.6686,-79.7312,2936,Pittsburg
PPA,40.6686,-79.7312,2937,Pittsburg
PPA,40.4226,-79.9249,3461,Pittsburg
PPA,40.4226,-79.9249,3462,Pittsburg
PPA,40.4226,-79.9236,3463,Pittsburg
PPA,40.4226,-79.9236,3464,Pittsburg
PPA,40.4226,-79.9227,3467,Pittsburg
PPA,40.4226,-79.9227,3468,Pittsburg
PPA,40.4226,-79.9249,3469,Pittsburg
PPA,40.4226,-79.9249,3470,Pittsburg
PPA,40.4226,-79.9242,3602,Pittsburg
PPA,40.4226,-79.9242,3603,Pittsburg
PPA,40.448,-79.9159,3723,Pittsburg
PPA,40.448,-79.9159,3724,Pittsburg
PPA,40.4379,-79.9556,3973,Pittsburg
PPA,40.4379,-79.9556,3981,Pittsburg
PPA,40.4379,-79.9556,3982,Pittsburg
PPA,40.4379,-79.9556,3985,Pittsburg
PPA,40.4338,-79.8762,3986,Pittsburg
PPA,40.4338,-79.8762,3987,Pittsburg
PPA,40.4379,-79.9556,4007,Pittsburg
PPA,40.4379,-79.9552,4024,Pittsburg
PPA,40.4379,-79.9552,4025,Pittsburg
PPA,40.6255,-79.8654,4295,Pittsburg
PPA,40.6255,-79.8654,4296,Pittsburg
PPA,40.3269,-79.7064,4510,Pittsburg
PPA,40.3269,-79.7064,4511,Pittsburg
PPA,40.1071,-79.783,4516,Pittsburg
PPA,40.1071,-79.783,4517,Pittsburg
PPA,40.6362,-80.0935,4529,Pittsburg
